Starting Fine tuned run
 L-Theta   U-Theta   A-Theta     Err       Acc       TNS       FNS       TPS       FPS      Weight  
 0.000000  1.000000  0.500000  0.553571  0.958173     25        31       1968       56     maximum  
 0.000000  0.500000  0.250000  0.363636  0.962500     7         4        1995       74     maximum  
 0.000000  0.250000  0.125000  0.214286  0.968750     22        6        1993       59    exp-norm 0.25
 0.000000  0.125000  0.062500  0.076923  0.966346     12        1        1998       69    exp-norm 0.5
 0.062500  0.125000  0.093750  0.280000  0.966346     18        7        1992       63    exp-norm 0.5
 0.062500  0.093750  0.078125  0.190476  0.967308     17        4        1995       64    exp-norm 0.5
 0.062500  0.078125  0.070312  0.058824  0.968269     16        1        1998       65    exp-norm 0.5
 0.070312  0.078125  0.074219  0.055556  0.968750     17        1        1998       64    exp-norm 0.5
 0.074219  0.078125  0.076172  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.074219  0.076172  0.075195  0.055556  0.968750     17        1        1998       64    exp-norm 0.5
 0.075195  0.076172  0.075684  0.055556  0.968750     17        1        1998       64    exp-norm 0.5
 0.075684  0.076172  0.075928  0.055556  0.968750     17        1        1998       64    exp-norm 0.5
 0.075928  0.076172  0.076050  0.055556  0.968750     17        1        1998       64    exp-norm 0.5
 0.076050  0.076172  0.076111  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.076050  0.076111  0.076080  0.055556  0.968750     17        1        1998       64    exp-norm 0.5
 0.076080  0.076111  0.076096  0.055556  0.968750     17        1        1998       64    exp-norm 0.5
 0.076096  0.076111  0.076103  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.076096  0.076103  0.076099  0.055556  0.968750     17        1        1998       64    exp-norm 0.5
 0.076099  0.076103  0.076101  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.076099  0.076101  0.076100  0.055556  0.968750     17        1        1998       64    exp-norm 0.5
 0.076100  0.076101  0.076101  0.055556  0.968750     17        1        1998       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.055556  0.968750     17        1        1998       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.055556  0.968750     17        1        1998       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.055556  0.968750     17        1        1998       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.055556  0.968750     17        1        1998       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.055556  0.968750     17        1        1998       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.055556  0.968750     17        1        1998       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.055556  0.968750     17        1        1998       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.055556  0.968750     17        1        1998       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.055556  0.968750     17        1        1998       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.055556  0.968750     17        1        1998       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.055556  0.968750     17        1        1998       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.055556  0.968750     17        1        1998       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.055556  0.968750     17        1        1998       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.055556  0.968750     17        1        1998       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.055556  0.968750     17        1        1998       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.055556  0.968750     17        1        1998       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.055556  0.968750     17        1        1998       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.055556  0.968750     17        1        1998       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.105263  0.968269     17        2        1997       64    exp-norm 0.5
 0.076101  0.076101  0.076101  0.105263  0.968269     17        2        1997       64    exp-norm 0.5

