Starting Fine tuned run
 L-Theta   U-Theta   A-Theta     Err       Acc       TNS       FNS       TPS       FPS      Weight  
 0.000000  1.000000  0.500000  0.153846  0.821911    1573      286       1713      426    exp-norm 0.25
 0.000000  0.500000  0.250000  0.090909  0.680090    800        80       1919      1199   exp-norm 1.0
 0.250000  0.500000  0.375000  0.098514  0.756878    1153      126       1873      846    exp-norm 0.25
 0.375000  0.500000  0.437500  0.127714  0.791646    1366      200       1799      633    exp-norm 0.25
 0.375000  0.437500  0.406250  0.113525  0.775888    1265      162       1837      734    exp-norm 0.25
 0.375000  0.406250  0.390625  0.106038  0.767634    1214      144       1855      785    exp-norm 0.25
 0.375000  0.390625  0.382812  0.103030  0.762131    1184      136       1863      815    exp-norm 0.25
 0.375000  0.382812  0.378906  0.101393  0.757629    1161      131       1868      838    exp-norm 0.25
 0.375000  0.378906  0.376953  0.100467  0.756628    1155      129       1870      844    exp-norm 0.25
 0.375000  0.376953  0.375977  0.099141  0.756878    1154      127       1872      845    exp-norm 0.25
 0.375977  0.376953  0.376465  0.099844  0.756628    1154      128       1871      845    exp-norm 0.25
 0.376465  0.376953  0.376709  0.099844  0.756628    1154      128       1871      845    exp-norm 0.25
 0.376709  0.376953  0.376831  0.099766  0.756878    1155      128       1871      844    exp-norm 0.25
 0.376831  0.376953  0.376892  0.100467  0.756628    1155      129       1870      844    exp-norm 0.25
 0.376831  0.376892  0.376862  0.100467  0.756628    1155      129       1870      844    exp-norm 0.25
 0.376831  0.376862  0.376846  0.100467  0.756628    1155      129       1870      844    exp-norm 0.25
 0.376831  0.376846  0.376839  0.100467  0.756628    1155      129       1870      844    exp-norm 0.25
 0.376831  0.376839  0.376835  0.100467  0.756628    1155      129       1870      844    exp-norm 0.25
 0.376831  0.376835  0.376833  0.100467  0.756628    1155      129       1870      844    exp-norm 0.25
 0.376831  0.376833  0.376832  0.100467  0.756628    1155      129       1870      844    exp-norm 0.25
 0.376831  0.376832  0.376832  0.099766  0.756878    1155      128       1871      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.099766  0.756878    1155      128       1871      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.099766  0.756878    1155      128       1871      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.099766  0.756878    1155      128       1871      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.099766  0.756878    1155      128       1871      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.099766  0.756878    1155      128       1871      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.100467  0.756628    1155      129       1870      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.100467  0.756628    1155      129       1870      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.099766  0.756878    1155      128       1871      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.100467  0.756628    1155      129       1870      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.100467  0.756628    1155      129       1870      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.099766  0.756878    1155      128       1871      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.099766  0.756878    1155      128       1871      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.100467  0.756628    1155      129       1870      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.100467  0.756628    1155      129       1870      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.099766  0.756878    1155      128       1871      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.100467  0.756628    1155      129       1870      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.099766  0.756878    1155      128       1871      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.100467  0.756628    1155      129       1870      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.100467  0.756628    1155      129       1870      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.099766  0.756878    1155      128       1871      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.099766  0.756878    1155      128       1871      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.099766  0.756878    1155      128       1871      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.100467  0.756628    1155      129       1870      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.100467  0.756628    1155      129       1870      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.100467  0.756628    1155      129       1870      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.099766  0.756878    1155      128       1871      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.099766  0.756878    1155      128       1871      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.100467  0.756628    1155      129       1870      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.100467  0.756628    1155      129       1870      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.100467  0.756628    1155      129       1870      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.100467  0.756628    1155      129       1870      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.099766  0.756878    1155      128       1871      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.100467  0.756628    1155      129       1870      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.099766  0.756878    1155      128       1871      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.099766  0.756878    1155      128       1871      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.099766  0.756878    1155      128       1871      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.099766  0.756878    1155      128       1871      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.099766  0.756878    1155      128       1871      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.099766  0.756878    1155      128       1871      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.099766  0.756878    1155      128       1871      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.099766  0.756878    1155      128       1871      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.099766  0.756878    1155      128       1871      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.099766  0.756878    1155      128       1871      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.099766  0.756878    1155      128       1871      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.099766  0.756878    1155      128       1871      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.099766  0.756878    1155      128       1871      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.099766  0.756878    1155      128       1871      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.099766  0.756878    1155      128       1871      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.099766  0.756878    1155      128       1871      844    exp-norm 0.25
 0.376832  0.376832  0.376832  0.099766  0.756878    1155      128       1871      844    exp-norm 0.25
