Starting Fine tuned run
 L-Theta   U-Theta   A-Theta     Err       Acc       TNS       FNS       TPS       FPS      Weight  
 0.000000  1.000000  0.500000  0.611111  0.963698     14        22       1977       53     maximum  
 0.000000  0.500000  0.250000  0.250000  0.968538     3         1        1998       64     maximum  
 0.000000  0.250000  0.125000  0.000000  0.968538     2         0        1999       65     maximum  
 0.125000  0.250000  0.187500  0.000000  0.969022     3         0        1999       64     maximum  
 0.187500  0.250000  0.218750  0.000000  0.969022     3         0        1999       64     maximum  
 0.218750  0.250000  0.234375  0.000000  0.969022     3         0        1999       64     maximum  
 0.234375  0.250000  0.242188  0.250000  0.968538     3         1        1998       64     maximum  
 0.234375  0.242188  0.238281  0.250000  0.968538     3         1        1998       64     maximum  
 0.234375  0.238281  0.236328  0.250000  0.968538     3         1        1998       64     maximum  
 0.234375  0.236328  0.235352  0.000000  0.969022     3         0        1999       64     maximum  
 0.235352  0.236328  0.235840  0.250000  0.968538     3         1        1998       64     maximum  
 0.235352  0.235840  0.235596  0.250000  0.968538     3         1        1998       64     maximum  
 0.235352  0.235596  0.235474  0.250000  0.968538     3         1        1998       64     maximum  
 0.235352  0.235474  0.235413  0.000000  0.969022     3         0        1999       64     maximum  
 0.235413  0.235474  0.235443  0.000000  0.969022     3         0        1999       64     maximum  
 0.235443  0.235474  0.235458  0.000000  0.969022     3         0        1999       64     maximum  
 0.235458  0.235474  0.235466  0.000000  0.969022     3         0        1999       64     maximum  
 0.235466  0.235474  0.235470  0.250000  0.968538     3         1        1998       64     maximum  
 0.235466  0.235470  0.235468  0.000000  0.969022     3         0        1999       64     maximum  
 0.235468  0.235470  0.235469  0.000000  0.969022     3         0        1999       64     maximum  
 0.235469  0.235470  0.235469  0.000000  0.969022     3         0        1999       64     maximum  
 0.235469  0.235470  0.235470  0.000000  0.969022     3         0        1999       64     maximum  
 0.235470  0.235470  0.235470  0.000000  0.969022     3         0        1999       64     maximum  
 0.235470  0.235470  0.235470  0.000000  0.969022     3         0        1999       64     maximum  
 0.235470  0.235470  0.235470  0.000000  0.969022     3         0        1999       64     maximum  
 0.235470  0.235470  0.235470  0.250000  0.968538     3         1        1998       64     maximum  
 0.235470  0.235470  0.235470  0.000000  0.969022     3         0        1999       64     maximum  
 0.235470  0.235470  0.235470  0.000000  0.969022     3         0        1999       64     maximum  
 0.235470  0.235470  0.235470  0.000000  0.969022     3         0        1999       64     maximum  
 0.235470  0.235470  0.235470  0.000000  0.969022     3         0        1999       64     maximum  
 0.235470  0.235470  0.235470  0.000000  0.969022     3         0        1999       64     maximum  
 0.235470  0.235470  0.235470  0.000000  0.969022     3         0        1999       64     maximum  
 0.235470  0.235470  0.235470  0.000000  0.969022     3         0        1999       64     maximum  
 0.235470  0.235470  0.235470  0.000000  0.969022     3         0        1999       64     maximum  
 0.235470  0.235470  0.235470  0.000000  0.969022     3         0        1999       64     maximum  
 0.235470  0.235470  0.235470  0.000000  0.969022     3         0        1999       64     maximum  
 0.235470  0.235470  0.235470  0.000000  0.969022     3         0        1999       64     maximum  
 0.235470  0.235470  0.235470  0.000000  0.969022     3         0        1999       64     maximum  
 0.235470  0.235470  0.235470  0.000000  0.969022     3         0        1999       64     maximum  
 0.235470  0.235470  0.235470  0.000000  0.969022     3         0        1999       64     maximum  
