weight,threshold,accuracy,accusation_error,tps,tns,fps,fns
Exp λ=0.0,0.0,0.5,0.5,3549,1,3549,1
Exp λ=0.0,0.001001001001001001,0.5,0.5,3549,1,3549,1
Exp λ=0.0,0.002002002002002002,0.5004225352112676,0.2,3549,4,3546,1
Exp λ=0.0,0.003003003003003003,0.5007042253521127,0.14285714285714285,3549,6,3544,1
Exp λ=0.0,0.004004004004004004,0.5008450704225352,0.125,3549,7,3543,1
Exp λ=0.0,0.005005005005005005,0.5009859154929578,0.1111111111111111,3549,8,3542,1
Exp λ=0.0,0.006006006006006006,0.5012676056338028,0.09090909090909091,3549,10,3540,1
Exp λ=0.0,0.007007007007007007,0.5016901408450705,0.07142857142857142,3549,13,3537,1
Exp λ=0.0,0.008008008008008008,0.5016901408450705,0.07142857142857142,3549,13,3537,1
Exp λ=0.0,0.009009009009009009,0.5019718309859155,0.0625,3549,15,3535,1
Exp λ=0.0,0.01001001001001001,0.5022535211267606,0.05555555555555555,3549,17,3533,1
Exp λ=0.0,0.011011011011011011,0.5023943661971831,0.05263157894736842,3549,18,3532,1
Exp λ=0.0,0.012012012012012012,0.5028169014084507,0.045454545454545456,3549,21,3529,1
Exp λ=0.0,0.013013013013013013,0.5033802816901408,0.038461538461538464,3549,25,3525,1
Exp λ=0.0,0.014014014014014014,0.5039436619718309,0.03333333333333333,3549,29,3521,1
Exp λ=0.0,0.015015015015015015,0.5039436619718309,0.03333333333333333,3549,29,3521,1
Exp λ=0.0,0.016016016016016016,0.504225352112676,0.03125,3549,31,3519,1
Exp λ=0.0,0.017017017017017015,0.5046478873239436,0.02857142857142857,3549,34,3516,1
Exp λ=0.0,0.018018018018018018,0.5049295774647887,0.02702702702702703,3549,36,3514,1
Exp λ=0.0,0.01901901901901902,0.5053521126760563,0.025,3549,39,3511,1
Exp λ=0.0,0.02002002002002002,0.505774647887324,0.023255813953488372,3549,42,3508,1
Exp λ=0.0,0.02102102102102102,0.5061971830985915,0.021739130434782608,3549,45,3505,1
Exp λ=0.0,0.022022022022022022,0.5067605633802816,0.02,3549,49,3501,1
Exp λ=0.0,0.023023023023023025,0.5074647887323943,0.01818181818181818,3549,54,3496,1
Exp λ=0.0,0.024024024024024024,0.5080281690140845,0.01694915254237288,3549,58,3492,1
Exp λ=0.0,0.025025025025025023,0.5084507042253521,0.016129032258064516,3549,61,3489,1
Exp λ=0.0,0.026026026026026026,0.5085915492957747,0.015873015873015872,3549,62,3488,1
Exp λ=0.0,0.02702702702702703,0.5092957746478873,0.014705882352941176,3549,67,3483,1
Exp λ=0.0,0.028028028028028028,0.5097183098591549,0.014084507042253521,3549,70,3480,1
Exp λ=0.0,0.029029029029029027,0.5101408450704226,0.013513513513513514,3549,73,3477,1
Exp λ=0.0,0.03003003003003003,0.5105633802816901,0.012987012987012988,3549,76,3474,1
Exp λ=0.0,0.031031031031031032,0.5108450704225352,0.012658227848101266,3549,78,3472,1
Exp λ=0.0,0.03203203203203203,0.5114084507042254,0.012048192771084338,3549,82,3468,1
Exp λ=0.0,0.03303303303303303,0.5116901408450705,0.011764705882352941,3549,84,3466,1
Exp λ=0.0,0.03403403403403403,0.512112676056338,0.011363636363636364,3549,87,3463,1
Exp λ=0.0,0.035035035035035036,0.5123943661971831,0.011111111111111112,3549,89,3461,1
Exp λ=0.0,0.036036036036036036,0.5128169014084507,0.010752688172043012,3549,92,3458,1
Exp λ=0.0,0.037037037037037035,0.5133802816901408,0.010309278350515464,3549,96,3454,1
